Frequency (eV),Frequency (meV),vDOS Total,Frequency (eV),Frequency (meV),vDOS Crystalline,Frequency (eV),Frequency (meV),vDOS Amorphous
0.030961,30.961,7.0437,0.030961,30.961,2.7832,0.030961,30.961,10.046
0.031197,31.197,7.1426,0.031197,31.197,3.7278,0.031197,31.197,9.5485
0.031434,31.434,9.3111,0.031434,31.434,7.4207,0.031434,31.434,10.643
0.03167,31.67,10.471,0.03167,31.67,8.1593,0.03167,31.67,12.1
0.031906,31.906,7.9935,0.031906,31.906,5.8085,0.031906,31.906,9.533
0.032143,32.143,6.3874,0.032143,32.143,5.3552,0.032143,32.143,7.1146
0.032379,32.379,10.689,0.032379,32.379,9.5141,0.032379,32.379,11.516
0.032615,32.615,11.708,0.032615,32.615,14.103,0.032615,32.615,10.02
0.032852,32.852,13.662,0.032852,32.852,17.192,0.032852,32.852,11.175
0.033088,33.088,13.2,0.033088,33.088,14.587,0.033088,33.088,12.222
0.033325,33.325,8.9947,0.033325,33.325,10.216,0.033325,33.325,8.134
0.033561,33.561,12.253,0.033561,33.561,14.28,0.033561,33.561,10.825
0.033797,33.797,14.603,0.033797,33.797,17.884,0.033797,33.797,12.291
0.034034,34.034,11.139,0.034034,34.034,11.797,0.034034,34.034,10.675
0.03427,34.27,10.992,0.03427,34.27,10.723,0.03427,34.27,11.181
0.034506,34.506,12.891,0.034506,34.506,18.475,0.034506,34.506,8.9566
0.034743,34.743,11.633,0.034743,34.743,14.238,0.034743,34.743,9.7979
0.034979,34.979,13.289,0.034979,34.979,20.395,0.034979,34.979,8.2828
0.035215,35.215,14.674,0.035215,35.215,25.484,0.035215,35.215,7.0569
0.035452,35.452,11.172,0.035452,35.452,13.481,0.035452,35.452,9.5453
0.035688,35.688,7.2116,0.035688,35.688,8.0895,0.035688,35.688,6.5931
0.035924,35.924,9.5245,0.035924,35.924,13.988,0.035924,35.924,6.3795
0.036161,36.161,13.151,0.036161,36.161,18.714,0.036161,36.161,9.232
0.036397,36.397,8.9531,0.036397,36.397,9.9804,0.036397,36.397,8.2293
0.036633,36.633,7.0486,0.036633,36.633,6.4018,0.036633,36.633,7.5042
0.03687,36.87,8.3413,0.03687,36.87,8.0118,0.03687,36.87,8.5735
0.037106,37.106,5.9748,0.037106,37.106,5.9619,0.037106,37.106,5.9838
0.037342,37.342,6.1711,0.037342,37.342,6.1144,0.037342,37.342,6.211
0.037579,37.579,7.7977,0.037579,37.579,8.5655,0.037579,37.579,7.2567
0.037815,37.815,5.6987,0.037815,37.815,4.3774,0.037815,37.815,6.6296
0.038051,38.051,5.8068,0.038051,38.051,4.1756,0.038051,38.051,6.9561
0.038288,38.288,6.1691,0.038288,38.288,6.4418,0.038288,38.288,5.977
0.038524,38.524,5.2355,0.038524,38.524,3.9714,0.038524,38.524,6.126
0.03876,38.76,4.7178,0.03876,38.76,3.1909,0.03876,38.76,5.7936
0.038997,38.997,5.5326,0.038997,38.997,3.8703,0.038997,38.997,6.7038
0.039233,39.233,6.5867,0.039233,39.233,4.5132,0.039233,39.233,8.0477
0.039469,39.469,6.3183,0.039469,39.469,4.6367,0.039469,39.469,7.5031
0.039706,39.706,7.6993,0.039706,39.706,5.2196,0.039706,39.706,9.4464
